iter	Passed	Remaining
0	3	3299
1	7	3617
2	10	3611
3	14	3592
4	17	3571
5	22	3648
6	25	3621
7	28	3546
8	31	3518
9	35	3494
10	38	3441
11	41	3382
12	44	3364
13	47	3312
14	50	3296
15	53	3282
16	57	3304
17	60	3313
18	63	3291
19	66	3274
20	70	3285
21	74	3301
22	78	3324
23	81	3317
24	85	3317
25	88	3303
26	91	3302
27	94	3288
28	97	3258
29	100	3240
30	103	3231
31	106	3221
32	109	3213
33	113	3214
34	116	3208
35	119	3208
36	122	3192
37	126	3196
38	129	3187
39	132	3174
40	135	3168
41	138	3167
42	141	3154
43	144	3131
44	147	3123
45	150	3119
46	153	3112
47	156	3100
48	159	3091
49	162	3082
50	165	3082
51	168	3066
52	171	3056
53	173	3044
54	176	3037
55	179	3029
56	183	3028
57	185	3015
58	188	3009
59	191	2999
60	194	2994
61	197	2985
62	200	2978
63	202	2968
64	206	2965
65	208	2948
66	211	2947
67	214	2937
68	217	2929
69	219	2919
70	222	2914
71	225	2907
72	228	2901
73	230	2889
74	233	2884
75	236	2877
76	239	2870
77	242	2866
78	245	2862
79	248	2855
80	250	2847
81	253	2841
82	256	2835
83	259	2831
84	262	2826
85	265	2822
86	268	2817
87	271	2814
88	274	2808
89	277	2805
90	280	2800
91	283	2796
92	286	2795
93	289	2790
94	292	2787
95	295	2781
96	298	2775
97	301	2771
98	303	2766
99	306	2761
100	309	2756
101	312	2749
102	315	2745
103	318	2741
104	321	2739
105	324	2734
106	326	2729
107	329	2724
108	332	2718
109	335	2711
110	337	2706
111	340	2702
112	343	2697
113	346	2693
114	349	2687
115	352	2683
116	354	2676
117	357	2675
118	360	2671
119	363	2669
120	366	2665
121	370	2663
122	373	2660
123	376	2659
124	379	2656
125	382	2651
126	384	2645
127	387	2642
128	391	2640
129	394	2637
130	397	2635
131	400	2630
132	403	2628
133	405	2623
134	409	2620
135	411	2616
136	414	2613
137	417	2608
138	420	2605
139	423	2600
140	426	2595
141	427	2585
142	430	2580
143	433	2577
144	436	2573
145	439	2568
146	441	2562
147	444	2559
148	447	2556
149	450	2553
150	453	2550
151	455	2542
152	458	2537
153	460	2530
154	463	2526
155	466	2522
156	468	2517
157	471	2511
158	473	2505
159	476	2501
160	479	2497
161	481	2492
162	484	2488
163	487	2483
164	489	2479
165	491	2471
166	494	2467
167	497	2465
168	500	2461
169	503	2457
170	506	2453
171	509	2450
172	511	2446
173	514	2444
174	517	2439
175	520	2436
176	522	2431
177	525	2428
178	528	2424
179	531	2421
180	534	2417
181	537	2414
182	539	2410
183	542	2407
184	545	2404
185	549	2403
186	551	2395
187	554	2393
188	556	2389
189	559	2385
190	562	2380
191	564	2376
192	567	2373
193	570	2369
194	572	2365
195	575	2361
196	578	2357
197	581	2353
198	583	2350
199	586	2347
200	589	2342
201	591	2338
202	594	2334
203	597	2331
204	600	2328
205	603	2324
206	604	2317
207	607	2312
208	609	2308
209	612	2305
210	615	2302
211	617	2296
212	620	2292
213	623	2289
214	626	2285
215	629	2283
216	631	2279
217	634	2276
218	637	2272
219	639	2268
220	642	2265
221	645	2262
222	648	2258
223	650	2254
224	653	2250
225	656	2248
226	658	2243
227	661	2240
228	663	2234
229	666	2231
230	669	2228
231	672	2225
232	675	2222
233	677	2218
234	680	2215
235	683	2212
236	686	2208
237	688	2205
238	691	2201
239	694	2199
240	697	2195
241	700	2192
242	702	2189
243	705	2184
244	708	2181
245	710	2178
246	713	2175
247	716	2172
248	718	2166
249	720	2160
250	722	2155
251	724	2150
252	726	2144
253	729	2141
254	730	2135
255	734	2134
256	736	2127
257	739	2125
258	741	2120
259	743	2117
260	746	2114
261	748	2109
262	752	2107
263	754	2104
264	757	2101
265	759	2096
266	762	2093
267	765	2090
268	768	2087
269	770	2084
270	773	2081
271	776	2078
272	779	2075
273	782	2072
274	785	2069
275	787	2066
276	790	2063
277	793	2060
278	795	2056
279	798	2053
280	801	2050
281	804	2048
282	806	2044
283	809	2041
284	812	2038
285	815	2035
286	817	2032
287	821	2030
288	823	2026
289	826	2024
290	829	2021
291	832	2017
292	834	2014
293	837	2011
294	840	2007
295	842	2004
296	845	2001
297	848	1998
298	851	1996
299	854	1993
300	857	1991
301	860	1988
302	863	1985
303	865	1981
304	868	1979
305	871	1975
306	873	1970
307	876	1968
308	877	1963
309	880	1960
310	883	1958
311	885	1952
312	888	1950
313	891	1947
314	894	1944
315	897	1941
316	899	1939
317	902	1936
318	904	1930
319	907	1928
320	910	1925
321	913	1923
322	915	1919
323	918	1916
324	921	1912
325	923	1909
326	926	1907
327	929	1904
328	932	1901
329	934	1898
330	937	1895
331	940	1892
332	942	1888
333	945	1885
334	947	1881
335	950	1877
336	952	1874
337	955	1871
338	958	1869
339	961	1866
340	963	1862
341	966	1860
342	969	1857
343	972	1854
344	975	1851
345	977	1847
346	979	1843
347	982	1840
348	985	1838
349	988	1835
350	990	1832
351	993	1829
352	996	1826
353	999	1823
354	1002	1820
355	1004	1817
356	1007	1814
357	1010	1811
358	1012	1808
359	1016	1806
360	1018	1803
361	1021	1800
362	1024	1797
363	1027	1794
364	1030	1792
365	1032	1789
366	1035	1786
367	1038	1783
368	1041	1780
369	1043	1777
370	1046	1774
371	1049	1771
372	1051	1768
373	1054	1765
374	1057	1762
375	1060	1759
376	1063	1756
377	1066	1754
378	1068	1751
379	1071	1748
380	1074	1746
381	1077	1743
382	1080	1740
383	1083	1738
384	1086	1735
385	1089	1732
386	1091	1729
387	1095	1727
388	1097	1724
389	1100	1721
390	1103	1718
391	1106	1715
392	1108	1712
393	1111	1709
394	1114	1706
395	1117	1703
396	1119	1701
397	1122	1698
398	1125	1695
399	1128	1692
400	1130	1689
401	1133	1686
402	1136	1683
403	1139	1681
404	1142	1678
405	1144	1675
406	1147	1672
407	1150	1669
408	1152	1666
409	1155	1663
410	1158	1660
411	1161	1657
412	1164	1654
413	1167	1651
414	1169	1648
415	1172	1646
416	1175	1643
417	1178	1640
418	1181	1637
419	1183	1634
420	1186	1631
421	1189	1628
422	1192	1626
423	1195	1624
424	1198	1621
425	1201	1618
426	1203	1615
427	1206	1612
428	1209	1609
429	1212	1606
430	1214	1603
431	1217	1600
432	1220	1597
433	1223	1595
434	1226	1592
435	1228	1589
436	1231	1586
437	1234	1583
438	1237	1581
439	1240	1578
440	1243	1576
441	1246	1573
442	1249	1571
443	1252	1568
444	1256	1566
445	1258	1563
446	1261	1561
447	1265	1558
448	1267	1555
449	1271	1553
450	1274	1551
451	1277	1548
452	1280	1546
453	1283	1543
454	1287	1541
455	1290	1539
456	1293	1537
457	1296	1534
458	1299	1531
459	1302	1528
460	1305	1526
461	1308	1524
462	1311	1521
463	1314	1518
464	1317	1515
465	1320	1513
466	1323	1510
467	1326	1507
468	1329	1505
469	1332	1503
470	1336	1500
471	1339	1498
472	1342	1495
473	1345	1492
474	1348	1490
475	1351	1487
476	1355	1486
477	1358	1483
478	1361	1480
479	1363	1477
480	1366	1474
481	1369	1472
482	1372	1469
483	1376	1467
484	1379	1464
485	1382	1462
486	1385	1459
487	1388	1456
488	1391	1453
489	1394	1451
490	1397	1449
491	1400	1446
492	1404	1444
493	1407	1441
494	1410	1439
495	1413	1436
496	1416	1433
497	1419	1430
498	1422	1428
499	1425	1425
500	1428	1422
501	1431	1419
502	1434	1417
503	1437	1414
504	1440	1411
505	1443	1409
506	1446	1406
507	1449	1403
508	1452	1401
509	1456	1399
510	1459	1396
511	1462	1393
512	1465	1391
513	1468	1388
514	1471	1385
515	1474	1383
516	1477	1380
517	1480	1377
518	1483	1374
519	1486	1372
520	1490	1370
521	1493	1367
522	1496	1364
523	1499	1362
524	1503	1360
525	1506	1357
526	1510	1355
527	1513	1352
528	1516	1350
529	1519	1347
530	1522	1344
531	1526	1342
532	1529	1339
533	1532	1337
534	1535	1334
535	1538	1331
536	1541	1329
537	1544	1326
538	1548	1324
539	1551	1321
540	1554	1318
541	1557	1315
542	1560	1313
543	1563	1310
544	1566	1307
545	1569	1305
546	1572	1302
547	1576	1300
548	1579	1297
549	1582	1294
550	1585	1292
551	1588	1289
552	1591	1286
553	1595	1284
554	1598	1281
555	1601	1279
556	1604	1276
557	1607	1273
558	1610	1270
559	1613	1267
560	1616	1264
561	1620	1262
562	1623	1259
563	1626	1257
564	1629	1254
565	1632	1251
566	1635	1248
567	1638	1245
568	1641	1243
569	1645	1241
570	1649	1239
571	1652	1236
572	1655	1233
573	1658	1231
574	1662	1228
575	1665	1225
576	1668	1222
577	1671	1220
578	1674	1217
579	1678	1215
580	1680	1212
581	1684	1209
582	1687	1206
583	1690	1204
584	1693	1201
585	1696	1198
586	1700	1196
587	1703	1193
588	1706	1191
589	1709	1188
590	1713	1185
591	1716	1182
592	1719	1180
593	1722	1177
594	1725	1174
595	1728	1171
596	1731	1169
597	1736	1167
598	1740	1165
599	1743	1162
600	1746	1159
601	1749	1156
602	1752	1154
603	1755	1151
604	1758	1148
605	1761	1145
606	1765	1142
607	1769	1140
608	1772	1138
609	1776	1135
610	1780	1133
611	1783	1130
612	1786	1127
613	1789	1124
614	1792	1122
615	1795	1119
616	1798	1116
617	1801	1113
618	1804	1110
619	1807	1108
620	1810	1105
621	1813	1102
622	1816	1099
623	1819	1096
624	1822	1093
625	1825	1090
626	1828	1088
627	1831	1085
628	1835	1082
629	1838	1079
630	1841	1076
631	1844	1074
632	1847	1071
633	1850	1068
634	1853	1065
635	1856	1062
636	1859	1059
637	1862	1056
638	1865	1053
639	1868	1051
640	1871	1048
641	1874	1045
642	1877	1042
643	1881	1039
644	1884	1036
645	1887	1034
646	1890	1031
647	1893	1028
648	1896	1025
649	1899	1022
650	1902	1020
651	1905	1017
652	1909	1014
653	1912	1011
654	1915	1009
655	1918	1006
656	1921	1003
657	1925	1000
658	1928	997
659	1932	995
660	1935	992
661	1938	989
662	1941	987
663	1945	984
664	1949	981
665	1952	979
666	1955	976
667	1958	973
668	1961	970
669	1965	967
670	1968	965
671	1971	962
672	1974	959
673	1977	956
674	1981	953
675	1984	951
676	1987	948
677	1990	945
678	1993	942
679	1996	939
680	1999	936
681	2003	934
682	2006	931
683	2009	928
684	2013	925
685	2016	923
686	2019	920
687	2023	917
688	2026	914
689	2029	911
690	2032	908
691	2035	905
692	2038	903
693	2042	900
694	2046	897
695	2049	895
696	2052	892
697	2056	889
698	2059	886
699	2062	883
700	2065	881
701	2068	878
702	2071	875
703	2075	872
704	2078	869
705	2081	866
706	2084	863
707	2088	861
708	2091	858
709	2094	855
710	2097	852
711	2100	849
712	2103	846
713	2107	844
714	2110	841
715	2114	838
716	2117	835
717	2120	832
718	2124	830
719	2126	827
720	2130	824
721	2133	821
722	2136	818
723	2139	815
724	2142	812
725	2154	813
726	2158	810
727	2161	807
728	2164	804
729	2167	801
730	2170	798
731	2173	795
732	2177	793
733	2181	790
734	2184	787
735	2187	784
736	2190	781
737	2194	778
738	2197	776
739	2200	773
740	2204	770
741	2207	767
742	2210	764
743	2213	761
744	2217	758
745	2220	755
746	2223	753
747	2227	750
748	2230	747
749	2233	744
750	2237	741
751	2240	738
752	2243	735
753	2246	732
754	2249	729
755	2252	726
756	2255	723
757	2258	721
758	2262	718
759	2265	715
760	2268	712
761	2271	709
762	2274	706
763	2277	703
764	2281	700
765	2284	697
766	2287	694
767	2290	691
768	2293	688
769	2296	685
770	2299	682
771	2302	679
772	2305	676
773	2308	673
774	2311	670
775	2314	668
776	2317	665
777	2321	662
778	2324	659
779	2327	656
780	2330	653
781	2334	650
782	2337	647
783	2340	644
784	2343	641
785	2346	638
786	2349	635
